sentiment,text
1,Mình đã dùng anywhere thế _ hệ đầu quả _ là đầy thất _ vọng hiện _ tại đang vứt xó Giá thì đắt ngốn pin như ăn _ gỏi nặng
1,Quan _ tâm nhất _ là độ trễ có cao không dùng thi _ thoảng nó cứ trễ bực _ mình đấy mới chỉ là dùng văn _ phòng chứ game thì chắc là ném đi từ lâu Không biết con này có độ trễ không nhỉ Dùng nhiều loại nhưng vẫn kết nhất con chuột sứ mitsumi gọn bấm nảy tốt
1,đang xài con cùi bắp 98k pin trâu mỗi _ tội đánh liên _ minh ức _ chế đập hết 2 con
1,logitech chắc hàng phải tiền triệu trở _ lên dùng mới thích chứ em dùng con có 400k thấy được vài bữa là hư chuyển sang eblue dùng được hơn năm chưa thấy hỏng
1,Đang xài con m _ 175 cùi mía nhà xài nhiều chuột nên thử con này con kia chơi và kết _ quả là sau 3 tháng và 4 con chuột khác _ nhau đủ kiểu đa chức _ năng mà giờ chỉ còn lại là con m _ 175 cùi mía còn xài được 3 giờ đi mua chuột là xác _ định không để mấy con nhân _ viên vấy ngắn nó dụ nửa cứ logitech mà fan
1,Đang xài 2 con M185 nút chuột giữa hai con đều như hạch xài chưa được năm scroll đã chạy bậy rồi Hay mua phải đồ đểu nhỉ
1,Con Anywhere _ 1 mình dùng bị double click cũng 3 lần rồi chán lắm
1,Hàng cty cấp cấp xong vứt ở nhà xài con Xornet cho đỡ mỏi tay Cơ _ mà vẫn thắc _ mắc là dong thấp nhất nhưng không bằng con misumi giá bằng 1 3
1,Magic _ mouse mà ngon hơn mới _ lạ Magic _ mouse chỉ _ được _ cái đẹp pin thì ăn 2 tuần hết không di trên mọi bề _ mặt được bạn nhé bảo _ hành thì hãng bảo _ hành 1 năm còn Logitech thì năm nhé chuột này em đang dùng chuột magic _ mouse bỏ tủ
1,em giống y bác luôn chán bluetooth kinh _ hồn 1tr7 mà em không_tưởng _ tượng được độ chuối của bluetooth
1,Mình cũng giật kinh _ khủng cảm _ thấy hơi nản về cái bluetooth của nó đã cập _ nhật El _ Capitan mới nhất lúc đầu không bị 1 thời _ gian sau lại giật lại như _ thường
1,Mình đã lên 10 11 3 nhưng vẫn bị đúng là tắt wifi đi thì ngon hơn hẵn Chán vãi mua em noá để khỏi dùng USB receiver mà thấy cái bluetooth nản vãi
1,10 11 3 _ mac 13 2015 mà cảm _ thấy chuột không mượt khá là khó _ chịu
1,di _ chuyển chuột không mượt bạn ơi Còn cáo Scroll cũng thấy bình_thường nhưng chả biết sao cảm _ giác không thích lắm Mới _ đầu test train win thì ok nhưng giờ về nhà cắm mac the xảy _ ra mấy chi khi chịu thật
1,Cập _ Nhật tình _ hình sau khi đi bảo _ hành về bên logitech thông _ báo chuột bình _ thường_khi kết _ nối bluetooth với mac _ air Mình mang mac _ pro ra ngoài svhouse kết _ nối với bluetooth con mv _ anywerè _ 2 thì vẫn có hiện _ tượng lag giờ mang về xài tạm chứ chả biết giải _ quyết sao luôn Tính làm cái mail gửi svhouse để hối _ thúc bên logitech mà chả biết thế _ nào mấy bạn xài mac _ pro _ 10 11 3 kết _ nối bluetooth thì bình_thường à Chắc kiếm chuột khác cắm test thử xem sao quá
1,có ai mua con này dùng lúc rê nó bị đứt _ quãng không e dùng thấy bị khó _ chịu quá rê nó không được đều
1,Vừa đi bảo _ hành con này nút middle Chuột logitech cao _ cấp hình _ như không tốt Trước _ đây xài con M905 cũng bị lỗi double click không sửa được Cũng may Thành _ Nhân đổi cho con mới Giờ đến con này thì cũng bị lỗi Cho do mình xui
1,chưa có cách khắc _ phục nhé mang đem đi bảo _ hành rồi mà vẫn bị chả hiểu sao logitech kêu xài bình_thường thôi về cắm cái cục kia vô xài luôn cho lành đồ rẻ rẻ thì ok đụng vô đát tí thì bị tè le
1,Sao mình dùng nó lag vãi _ linh _ hồn luôn chán thật 1tr8 bluetooth mà giờ đang dùng usb reciver Mình dùng mac _ pro 2015 13 ich có cách nào khắc _ phục không chứ bỏ tiền ra mua còn này để dùng bluetooth mà giờ xót quá
1,Khuyên các bác không nên mua chuột bluetooth xài chán vãi em cũng đang dùng con này nhưng không _ bao _ giờ dùng chức _ năng bluethooth cả lag lắm xài mấy con bluethooth kể _ cả magic mouse chưa con nào ra _ hồn đến giờ này em vẫn không hiểu nổi tại _ sao chuột bluetooth lại bèo vậy vì về kỹ _ thuật mà nói băng _ thông dư sức để làm chuyện đơn _ giản này ngay cả nhạc nhẽo còn truyền ngon _ ơ cơ _ mà
1,Đã dùng thử em nó cảm _ giác không được hoàn _ thiện lắm nói _ chung là next luôn
1,đúng rồi như apple có làm ra được cái gì đâu con A 9 _ apple còn chôm của hội nghiên _ cứu _ sinh đại _ học wicousin
1,Con này nó không có cổng âm _ thanh muốn xuất ra chỉ có mỗi đường hdmi nhỉ Cũng tệ ở khoản đó
1,Kỷ _ niệm tuổi _ thơ tôi Mỗi _ tội đắt quá không có tiền mua
1,không_thể cài thêm game mới là không ổn rồi
1,không có triển _ vọng doanh _ số bán rồi
1,cho 1 cái cục 30 game với giá 60 không cài được game mới hoặc cắm băng cũ hãng này tính troll fan của dòng này chắc v nếu đã sưu _ tầm thì họ mua cái máy đời cũ cho _ rồi dự là doanh _ số thảm _ hại cho xem
1,Mới không ra mới cũ không ra cũ tệ chẳng cảm _ nhận được gì từ sản _ phẩm này
1,đã nói sưu _ tầm thì ng ta sưu _ tầm cái máy tệ kia chứ chả ai tệ đi mua máy này mới chả ra mới cũ chả ra cũ tính ra thì thằng nintendo vụ này hút máu ng dùng còn gì
1,không cài thêm được game không cắm được băng thế _ thì mua làm _ gì nhỉ trong khi máy cũ vẫn có ng bán hàng tầu thì tràn _ lan giả _ lập thì luôn sẵn _ sàng
1,Quá đắt cho 1 cuộc tình Cái màn _ hình chỉ đáng 200 Nếu bỏ thêm tới 300 thì tôi kì _ vọng phải có pin đủ xài 5 tiếng
1,Bản _ chất 2 vấn _ đề này là khác _ nhau Apple thiết _ kế sản _ phẩm để ai cũng dùng được còn Microsoft thiết _ kế sản _ phẩm để không ai thèm dùng
1,Xbox thì thích mỗi cái gamepad của nó còn lại vứt Everything I do I do on my PC
1,cảm_ơn bạn vì bài chia _ sẻ hay tiếc là 90 số đó không ứng _ dụng ở cái vùng trũng công _ nghệ của thời_gian Mình là người đã có lần hỏi bạn về cách ứng _ dụng aw trong cuộc _ sống để xem có nên mua hay không Câu trả _ lời đến giờ vẫn là Không_Chờ _ đợi sự đồng _ bộ_hạ _ tầng bank thanh _ toán trực _ tuyến hoặc chờ _ đợi những chức _ năng hợp _ lý cho ng Việt camera sim rời pin lâu cảm_ơn anyway
1,toàn ba cái ứng _ dung mang từ đt sang thì mua thêm cái này làm khỉ gì
1,vẫn không hiểu nhiều người cứ thích sw phải có sim rời để làm _ gì đưa đồng _ hồ lên miệng là đã thấy dị rồi chẳng thà mua cái đt cùi bắp 2 sim 2 sóng kiêm tai _ nghe bluetooth luôn có phải ngon không
1,Bỏ ra 8 10tr để mua một sản _ phẩm có _ thể hữu _ ích hoặc không hữu _ ích Dày gấp 3 lần pin kém 20 lần giá gấp 2 lần đồng _ hồ bình _ thường
1,Thật tiếc là đa _ số những ứng _ dụng trên đều không sử _ dụng được hoặc chưa thật _ sự hiểu quả tại Việt _ Nam cơ _ bản thì mình cũng có cùng quan _ điểm với bác chủ topic về khái _ niệm sử _ dụng smartwatch vào thời _ điểm hiện _ tại Trung _ bình 300 400 là 1 khoản tiền không nhỏ kiếm 300 400 tại Việt _ Nam cũng không phải đơn _ giản nhưng việc 1 người bỏ ra 300 400 để thoả _ mãn đam _ mê của mình thì ngay cả ở Việt _ Nam cũng đâu phải _ cái gì đó quá khủng _ khiếp Mình thấy lạ là có rất nhiều người vào comment cái kiểu chả để làm gì nâng bi phí tiền Mình không nói bạn có tiền để mua hay không nhưng đơn _ giản là bạn vào đọc không thk bạn có _ thể đi ra và tìm 1 topic khác đúng sở thk của bạn Bạn không cần phải thở ra những câu chả liên _ quan kiểu như _ vậy để người khác không mua giống mình cho đỡ cảm _ thấy lạc _ lõng với xu _ hướng của thế _ giới
